,Code,Title,points_r1_2021,points_r1_2020,points_r1_2019
536,DK844,Mechanical Engineering,305,305,305
537,DK845,Electrical and Electronic Engineering,304,304,304
538,DK846,Civil Engineering,391,391,391
539,DK850,International Tourism Management,317,317,317
540,DK861,Arts,302,302,302
541,DK862,Social Care,301,301,301
542,DK863,Creative Media,308,308,308
543,DK864,Film and Television Production,300,300,300
544,DK865,Audio and Music Production,301,301,301
545,DK870,General Nursing,403,403,403
546,DK872,Intellectual Disability Nursing,336,336,336
547,DK874,Mental Health Nursing,356,356,356
548,DK876,Early Childhood Studies,321,321,321
549,DK877,Midwifery,440,440,440
550,DK880,Health and Physical Activity,328,328,328
551,DK882,Agriculture (Award options),310,310,310
552,DK883,Science (Award options),358,358,358
553,DK884,Sustainable Agriculture,,,
554,DK885,Agri-Food Production,,,
555,DK886,Biopharmaceutical Science,301,301,301
556,DK887,Environmental Science,330,330,330
557,GA181,Accounting,309,309,309
558,GA182,Business,287,287,287
559,GA183,Business Information Systems,296,296,296
560,GA184,Marketing and Sales,307,307,307
561,GA185,Finance and Economics,293,293,293
562,GA186,Business with Entrepreneurship,280,280,280
563,GA187,Rural Enterprise and Agri-Business,281,281,281
564,GA281,Film and Documentary,304,304,304
565,GA282,Heritage Studies,220,220,220
566,GA283,Contemporary Art (portfolio),679,679,679
567,GA284,Design,303,303,303
568,GA285,Education (Art  Design and Graphics),,,
569,GA380,International Hotel Management,242,242,242
570,GA381,International Tourism Management,278,278,278
571,GA382,Culinary and Gastronomic Science,206,206,206
572,GA384,Event Management with Public Relations,212,212,212
573,GA480,Construction Management,260,260,260
574,GA482,Quantity Surveying and Construction Economics,288,288,288
575,GA483,Architectural Technology,265,265,265
576,GA484,Civil Engineering,290,290,290
577,GA580,Software and Electronic Engineering,300,300,300
578,GA680,Mechanical Engineering,330,330,330
579,GA681,Energy Engineering,293,293,293
580,GA682,Biomedical Engineering,313,313,313
581,GA683,Agricultural Engineering,309,309,309
582,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,340,340,340
583,GA685,Manufacturing Engineering Design,309,309,309
584,GA780,Applied Freshwater and Marine Biology,327,327,327
585,GA781,Applied Biology and Biopharmaceutical Science,337,337,337
586,GA782,Chemical and Pharmaceutical Science,336,336,336
587,GA783,Physics and Instrumentation,363,363,363
588,GA784,Science (Undenominated),372,372,372
589,GA785,Medical Science,473,473,473
590,GA786,Forensic Science and Analysis,317,317,317
591,GA787,Computing in Software Development,270,270,270
592,GA788,Computing and Digital Media,274,274,274
593,GA789,Agriculture and Environmental Management,287,287,287
594,GA790,Sport and Exercise Science,356,356,356
595,GA791,Public Health Nutrition,368,368,368
596,GA880,General Nursing,429,429,429
597,GA882,Psychiatric Nursing,367,367,367
598,GA885,Outdoor Education,252,252,252
599,GA887,History and Geography,244,244,244
600,GA889,Applied Social Care,266,266,266
601,GA890,Early Childhood Education and Care,270,270,270
602,GA891,Geography and Outdoor Education,244,244,244
603,GA892,Community Development and Youth Work (Level 8),,,
604,GA980,Education (Design Graphics and Construction),377,377,377
605,GA981,Furniture Design and Manufacture,,,
606,GA982,Furniture Making and Architectural Woodworking,,,
607,GA983,Furniture and Digital Manufacturing,,,
608,GA984,Furniture Design  Making and Technology - Common E,284,284,284
609,GY101,Arts (Joint-Honours),300,300,300
610,GY104,BSc (Psychology),523,523,523
611,GY105,Arts (History),301,301,301
612,GY109,Arts (Mathematics and Education),403,403,403
613,GY110,Arts (Children and Youth Studies - options),357,357,357
