,Code,Title,points_r1_2021,points_r1_2020,points_r1_2019
583,GA685,Manufacturing Engineering Design,336,309,0
584,GA780,Applied Freshwater and Marine Biology,366,327,300
585,GA781,Applied Biology and Biopharmaceutical Science,381,337,317
586,GA782,Chemical and Pharmaceutical Science,356,336,307
587,GA783,Physics and Instrumentation,301,363,373
588,GA784,Science (Undenominated),445,372,327
589,GA785,Medical Science,517,473,451
590,GA786,Forensic Science and Analysis,408,317,300
591,GA787,Computing in Software Development,310,270,275
592,GA788,Computing and Digital Media,270,274,270
593,GA789,Agriculture and Environmental Management,340,287,297
594,GA790,Sport and Exercise Science,376,356,350
595,GA791,Public Health Nutrition,368,368,364
596,GA880,General Nursing,440,429,389
597,GA882,Psychiatric Nursing,369,367,346
598,GA885,Outdoor Education,269,252,210
599,GA887,History and Geography,201,244,228
600,GA889,Applied Social Care,265,266,260
601,GA890,Early Childhood Education and Care,281,270,278
602,GA891,Geography and Outdoor Education,261,244,0
603,GA892,Community Development and Youth Work (Level 8),0,0,0
604,GA980,Education (Design Graphics and Construction),410,377,376
605,GA981,Furniture Design and Manufacture,346,0,271
